link,item_name,price,description,vendor,vendor_id,manufacturer,manufacturer_id
https://www.sparkfun.com/products/14356,pi-topPROTO,6.99,The pi-topPROTO is a HAT-compatible add-on board for prototyping electronics for your pi-top or pi-topCEED. With plenty of space available to build circuits that can interact with your pi-top — as well as a full 40-pin GPIO on top for a desired Raspberry Pi HAT — the pi-topPROTO makes a great addition to the pi-top family.,None,None,None,None
https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/6648342-1/6648342-1-ND/5446003,"CONTACT,SKT,1/4 DOUBLE CROWN, SI",11.00512,"CONTACT,SKT,1/4 DOUBLE CROWN, SI",None,6648342-1-ND,TE Connectivity AMP Connectors,6648342-1
https://www.digikey.com/product-detail/en/murata-electronics-north-america/TZB4Z100BA10R00/490-1989-2-ND/588010,CAP TRIMMER 3-10PF 100V SMD,0.42472,3 ~ 10pF Trimmer Capacitor 100V Top Surface Mount,None,490-1989-2-ND,Murata Electronics North America,TZB4Z100BA10R00
https://www.digikey.com/product-detail/en/carlo-gavazzi-inc/RSBS2325A2V12C24/1864-2798-ND/9520827,1PH S/ST 230V 25A 240 CASE 6MM,247.10000,Soft Start / Stop 230VAC Supply 25A 230 V Load,None,1864-2798-ND,Carlo Gavazzi Inc.,RSBS2325A2V12C24
https://www.digikey.com/product-detail/en/keystone-electronics/5000/36-5000-ND/255326,PC TEST POINT MINIATURE RED,0.37000,"Red PC Test Point, Miniature Phosphor Bronze, Silver Plating 0.040"" (1.02mm) Hole Diameter Mounting Type",None,36-5000-ND,Keystone Electronics,5000
https://www.digikey.com/product-detail/en/keystone-electronics/5003/36-5003-ND/362668,PC TEST POINT MINIATURE ORANGE,0.37000,"Orange PC Test Point, Miniature Phosphor Bronze, Silver Plating 0.040"" (1.02mm) Hole Diameter Mounting Type",None,36-5003-ND,Keystone Electronics,5003
https://www.digikey.com/product-detail/en/kionix-inc/KXTJ3-1057/KXTJ3-1057TR-ND/6573217,"TRI-AXIS, USER SELECTABLE",0.51800,"Accelerometer X, Y, Z Axis ±2g, 4g, 8g, 16g 800Hz 12-LGA (2x2)",None,KXTJ3-1057TR-ND,Kionix Inc.,KXTJ3-1057
https://www.digikey.com/product-detail/en/nxp-usa-inc/LS1043ASN8QQB/568-14019-ND/7645779,QORIQ 4XCPU 64-BIT ARM ARCH 1.,79.05000,Microprocessor IC *   780-FCPBGA (23x23),None,568-14019-ND,NXP USA Inc.,LS1043ASN8QQB
https://www.digikey.com/product-detail/en/apex-tool-group/DN54GVN/DN54GVN-ND/4944,"PLIERS ELEC FLAT NOSE 5""",22.60000,"Electronics Pliers Flat Nose Smooth 5.00"" (127.0mm)",None,DN54GVN-ND,Apex Tool Group,DN54GVN
https://www.digikey.com/product-detail/en/hammond-manufacturing/RASV190320BK1/HM1592-ND/2570309,"SHELF FIXED 20X17.5X3.5"" BLACK",61.49000,"Metal, Steel Shelf, Fixed 20.000"" L x 17.500"" W x 3.470"" H (508.00mm x 444.50mm x 88.14mm) Black",None,HM1592-ND,Hammond Manufacturing,RASV190320BK1
https://www.digikey.com/product-detail/en/infineon-technologies/TLV493DA1B6HTSA2/TLV493DA1B6HTSA2TR-ND/5887140,SENSOR ROTARY 360DEG SMD,0.64272,"Hall Effect Sensor Linear, Rotary Position External Magnet, Not Included SMD (SMT) Tab",None,TLV493DA1B6HTSA2TR-ND,Infineon Technologies,TLV493DA1B6HTSA2
https://www.grainger.com/product/BRADY-Lift-Truck-Traffic-40R402,"Lift Truck Traffic, Stop, Plastic, 18"" x 18"", With Mounting Holes, Not Retroreflective",$5.06,None,None,None,None,124515
https://www.grainger.com/product/LYLE-Road-Traffic-Control-449J50,"Road Traffic Control, No Header, Recycled Aluminum, 24"" x 18""",$73.75,None,None,None,None,T1-1027-DG_18x24
https://www.grainger.com/product/LABCHEM-CHEMICAL-KOH-0-5N-IN-MEOH-8GAT7,CHEMICAL KOH 0.5N IN MEOH 1L,$34.80,None,None,None,None,LC195202
https://www.grainger.com/product/OSG-Jobber-Drill-Bit-34XF87,"Jobber Drill Bit, 6.00mm, Solid Carbide, WXS, List Number 5955NI",$182.00,None,None,None,None,3316600
https://www.grainger.com/product/MONARCH-Accelerometer-6KX56,Accelerometer,$339.50,None,None,None,None,6480-031
https://www.grainger.com/product/BLACKHAWK-Instructors-Gun-Belt-11Z622,"Instructors Gun Belt, Webbing, Black, Width: 6.5"", Size: M",$51.50,None,None,None,None,41VT01
https://www.grainger.com/product/PRATT-LAMBERT-Flat-Interior-Paint-416Y96,"Flat Interior Paint, Latex, Bronze Gold, 1 gal.",$41.14,None,None,None,None,0000Z0283-16
https://www.grainger.com/product/RAYCHEM-Splice-and-Tee-Kit-4DC50',"Splice and Tee Kit, For Use With Winter Guard Heating Cables, 1 EA",$22.55,None,None,None,None,H910
https://www.grainger.com/product/KNIPEX-Precision-Diagonal-Cutting-10U018,"Precision Diagonal Cutting Pliers, Cut: Bevel, Jaw Width: 23/64"", Jaw Length: 1/4"", ESD Safe: No",$71.75,None,None,None,None,79 02 120
https://www.grainger.com/product/WEBSTONE-1-Brass-Purge-and-Fill-Valve-40L226,"1"" Brass Purge and Fill Valve",$58.50,None,None,None,None,58614
https://www.grainger.com/product/BARSKA-Rifle-Scope-45CL62,"Rifle Scope, 4x to 16x Magnification, 50mm Objective Lens, Target Dot Reticle",$174.50,None,None,None,None,AC10554
https://www.mcmaster.com/40005t52,None,$27.52 Each,"Shipped flat so you can keep plenty of extras on hand, these cardboard containers have a self-locking base for fast assembly.",None,None,None,None
https://www.mcmaster.com/5588k18,None,$18.38 Each,"Unlike other duct hose clamps, these are rated for maximum work load (the maximum force the latch can withstand without affecting its operation or appearance). Clamps have a quick-release latch that lets you access your line frequently while maintaining your original clamp size.",None,None,None,None
https://www.mcmaster.com/1954t3,None,$67.84 Each,Refill electric box-bottom stitchers.,None,None,None,None
https://www.mcmaster.com/8056a38,None,$107.62 Each,"Enter a combination to operate electromagnetic locks, electric door strikes, and other access control devices. This control can also be used with alarm systems and motion detectors.",None,None,None,None
https://www.mcmaster.com/9581t16,None,$18.03 Each,"The insulation resists water, so you can use these cords outdoors. They help meet OSHA standards.",None,None,None,None
https://www.mcmaster.com/1353t15,None,$98.92 Each,A flexible steel wire reed detects vibration while the scale on the side of the meter indicates the machine vibration in cycles per minute (cpm). A simple calculation determines motor speed in rpm for engines with multiple cycles.,None,None,None,None
https://www.mcmaster.com/6066a13,None,$28.21 Each,"Use these tools for forming metal and driving punches, chisels, and masonry drills. For replacement handles, see Hickory Hammer Handles and Fiberglass Hammer Handles.",None,None,None,None
https://www.mcmaster.com/6062k2,None,None,An anodized finish protects this 5005 aluminum from wear and abrasion. It is nonmagnetic and not heat treatable.,None,None,None,None
